drink water; Head: tilts back slightly; Hand: grasps container; Arm: lifts container to mouth; Hip: remains stable; Leg: supports body weight; Foot: stays flat on ground.
eat meal; Head: lowers toward plate; Hand: holds utensil or food; Arm: moves to mouth; Hip: remains seated; Leg: supports sitting posture; Foot: rests on floor.
brush teeth; Head: tilts slightly forward; Hand: grips toothbrush; Arm: moves back and forth; Hip: remains stable; Leg: supports standing; Foot: flat on ground.
brush hair; Head: tilts as needed; Hand: holds brush; Arm: strokes downward; Hip: remains stable; Leg: supports standing; Foot: flat on ground.
drop; Head: lowers toward ground; Hand: releases grip; Arm: extends downward; Hip: bends forward; Leg: flexes at knees; Foot: remains on ground.
pick up; Head: lowers toward object; Hand: grasps object; Arm: extends downward then lifts; Hip: bends forward; Leg: flexes at knees; Foot: flat on ground.
throw; Head: turns toward target; Hand: grips then releases; Arm: swings forward; Hip: rotates forward; Leg: steps forward; Foot: pivots on ground.
sit down; Head: remains level; Hand: may guide body; Arm: bends at elbow; Hip: flexes backward; Leg: bends at knee; Foot: flat on ground.
stand up; Head: remains level; Hand: may push on support; Arm: extends downward; Hip: extends forward; Leg: straightens at knee; Foot: pushes on ground.
clapping; Head: remains level; Hand: strikes together; Arm: swings inward; Hip: remains stable; Leg: supports body; Foot: flat on ground.
reading; Head: tilts downward; Hand: holds book or device; Arm: supports at chest level; Hip: remains seated; Leg: relaxed in seat; Foot: rests on floor.
writing; Head: tilts downward; Hand: grips pen; Arm: moves across paper; Hip: remains seated; Leg: relaxed in seat; Foot: rests on floor.
tear up paper; Head: tilts downward; Hand: grips and pulls apart; Arm: extends outward; Hip: remains stable; Leg: supports body; Foot: flat on ground.
put on jacket; Head: lowers briefly; Hand: inserts into sleeve; Arm: threads through sleeve; Hip: remains stable; Leg: supports standing; Foot: flat on ground.
take off jacket; Head: remains level; Hand: pulls sleeve off; Arm: withdraws from sleeve; Hip: remains stable; Leg: supports standing; Foot: flat on ground.
put on a shoe; Head: tilts downward; Hand: holds shoe; Arm: lowers to foot; Hip: bends slightly; Leg: lifts foot; Foot: inserts into shoe.
take off a shoe; Head: tilts downward; Hand: pulls shoe off; Arm: reaches to foot; Hip: bends slightly; Leg: lifts foot; Foot: slides out of shoe.
put on glasses; Head: tilts slightly forward; Hand: holds frames; Arm: lifts to face; Hip: remains stable; Leg: supports body; Foot: flat on ground.
take off glasses; Head: tilts slightly forward; Hand: grasps frames; Arm: pulls forward; Hip: remains stable; Leg: supports body; Foot: flat on ground.
put on a hat/cap; Head: tilts slightly forward; Hand: holds hat; Arm: lifts above head; Hip: remains stable; Leg: supports standing; Foot: flat on ground.
take off a hat/cap; Head: tilts slightly forward; Hand: grasps brim; Arm: lifts upward; Hip: remains stable; Leg: supports standing; Foot: flat on ground.
cheer up; Head: lifts upward; Hand: pumps fist; Arm: raises high; Hip: remains stable; Leg: supports body; Foot: flat on ground.
hand waving; Head: turns toward direction; Hand: opens palm; Arm: swings side to side; Hip: remains stable; Leg: supports body; Foot: flat on ground.
kicking something; Head: tilts downward; Hand: may balance body; Arm: swings for balance; Hip: rotates forward; Leg: extends outward; Foot: strikes object.
reach into pocket; Head: tilts downward; Hand: inserts into pocket; Arm: bends at elbow; Hip: remains stable; Leg: supports body; Foot: flat on ground.
