bow; Head: lowers forward; Hand: hangs at sides; Arm: relaxed downward; Hip: bends deeply; Leg: straightens knees; Foot: together flat.
brushing hair; Head: tilts as needed; Hand: holds brush; Arm: strokes downward; Hip: remains stable; Leg: supports standing; Foot: flat on ground.
brushing teeth; Head: tilts slightly forward; Hand: grips toothbrush; Arm: moves back and forth; Hip: remains stable; Leg: supports standing; Foot: flat on ground.
check time (from watch); Head: tilts downward; Hand: pulls sleeve back; Arm: raises to eye level; Hip: remains stable; Leg: supports body; Foot: flat on ground.
cheer up; Head: lifts upward; Hand: pumps fist; Arm: raises high; Hip: remains stable; Leg: supports body; Foot: flat on ground.
clapping; Head: remains level; Hand: strikes together; Arm: swings inward; Hip: remains stable; Leg: supports body; Foot: flat on ground.
cross hands in front (say stop); Head: faces forward; Hand: palms open outward; Arm: raises and crosses at wrists; Hip: remains stable; Leg: locks knees; Foot: planted wide.
drink water; Head: tilts back slightly; Hand: grasps container; Arm: lifts container to mouth; Hip: remains stable; Leg: supports body weight; Foot: stays flat on ground.
drop; Head: lowers toward ground; Hand: releases grip; Arm: extends downward; Hip: bends forward; Leg: flexes at knees; Foot: remains on ground.
eat meal/snack; Head: lowers toward food; Hand: holds utensil or snack; Arm: lifts to mouth; Hip: remains seated; Leg: relaxed beneath table; Foot: rests flat on floor.
falling; Head: snaps forward; Hand: reaches outward; Arm: flails wildly; Hip: collapses sideways; Leg: buckles instantly; Foot: slips off ground.
giving something to other person; Head: faces recipient; Hand: holds and offers object; Arm: extends forward; Hip: leans slightly toward; Leg: steps closer; Foot: shifts weight forward.
hand waving; Head: turns toward direction; Hand: opens palm; Arm: swings side to side; Hip: remains stable; Leg: supports body; Foot: flat on ground.
handshaking; Head: faces partner; Hand: grips and pumps; Arm: extends then bends; Hip: remains stable; Leg: supports body; Foot: flat on ground.
hopping (one foot jumping); Head: bobs up-down; Hand: fists for balance; Arm: pumps up-down; Hip: flexes sharply; Leg: bends and explodes; Foot: pushes off toes.
hugging other person; Head: rests on shoulder; Hand: presses back; Arm: wraps around torso; Hip: pulls bodies together; Leg: steps in close; Foot: plants shoulder-width.
jump up; Head: tilts slightly back; Hand: swings upward; Arm: pumps downward; Hip: extends explosively; Leg: straightens fully; Foot: pushes off toes.
